[00:00:00] 今日の疑問こちらです
[00:00:02] モバイルバッテリー規制旅行時の注意場という内容です
[00:00:07] これから規制などで飛行機や鉄道などを乗る機会も増えてくると思いますが
[00:00:13] リチウム4電池を使っている製品の取り扱いについては交通各社が注意を呼び掛けているんです
[00:00:20] 今日は日本航空が注意喚起のための実演を行いました
[00:00:26] 誰か来てください
[00:00:30] 例えばですね、図上の収納棚でモバイルバッテリーが発火した場合
[00:00:38] 中口を貼って全体を開かせて
[00:00:42] 周囲の乗客を避難させた後
[00:00:45] 上務員はこれ煙を吸い込まないための装備をしているんですが
[00:00:49] その後消火器で消火します
[00:00:54] 元はモバイルバッテリーでした
[00:00:59] 温度が下がったモバイルバッテリーを取り出して
[00:01:03] ゴミ箱で水没させました
[00:01:08] 緊急事態の訓練って交通各社やってますが
[00:01:12] モバイルバッテリーの訓練も今行われているんですね
[00:01:16] そうですね、それだけモバイルバッテリーが一般的になってきているということなんですけど
[00:01:21] 皆さんの中でも使う方は多いと思います
[00:01:24] 便利な一方、モバイルバッテリー取り扱いには注意が必要となってくるんです
[00:01:30] モバイルバッテリーを持って飛行機に乗る際の注意点がこちらなんです
[00:01:36] 三つご紹介していくんですが
[00:01:38] まず一つ目が、預ける荷物に入れないということなんですね
[00:01:43] 預ける荷物に入れることは法律によって禁止されているんです
[00:01:48] 必ず機内に持ち込みをするようにしましょうということなんです
[00:01:53] 今これかなりアナウンスもされていますけどね
[00:01:56] そうですね
[00:01:57] そして二つ目のポイントがこちらですね
[00:02:01] モバイルバッテリーは専用のケースといっても
[00:02:05] モバイルバッテリー用の何か専用のケースというわけではなくて
[00:02:09] モバイルバッテリーだけを入れたケースや収納袋を用意して
[00:02:14] その中にほかの金属品と同じ金属品を入れないようにするということが大事になってくるんです
[00:02:22] ほかのものと一緒に入れますと
[00:02:24] 端子の部分などにその金属が当たって
[00:02:27] ショートを起こす可能性があるということなんですね
[00:02:30] それイラストビニール袋のようになってますけど
[00:02:32] そういったポリプルのようなものでもいいという
[00:02:34] 収納袋でも大丈夫ですね
[00:02:36] ほかのものを入れないようにするというのがポイントになってきます
[00:02:39] そして三つ目のポイントがこちらですね
[00:02:42] 機内では上の収納袋に入れないということなんです
[00:02:47] 使用する際は常にモバイルバッテリーの状態が確認できる場所で使用するということなんですね
[00:02:54] スマートフォンにモバイルバッテリーで充電をしながら
[00:02:58] 席を離れるといったことをしないように
[00:03:00] 国土交通省は呼びかけているんです
[00:03:03] 多くの人が持っているわけですから
[00:03:05] 自分だけだったら大丈夫だろうとか
[00:03:07] これバレないだろうっていう気の緩みが飛行機だと
[00:03:11] 本当に自分の命は愚か
[00:03:13] 多くの人の命を奪ってしまう事故につながるかねないですから
[00:03:17] これ本当に皆さん守らなきゃいけませんよね
[00:03:19] そうですね
[00:03:20] 便利なものですし
